write_latency_p90,read_latency_p90,replication_lag,commit_lag,commit_latency,max_clock_error,election_timeout,one_way_latency_mean,one_way_latency_variance,noop_rate,heartbeat_rate,operations,interarrival,stepdown_rate,partition_rate,heal_rate,keyspace_size,zipf_skewness,quorum_check_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,lease_timeout,log_write_micros,check_linearizability,metrics_start_ts,jumpstart_election,seed,real_duration
3600.0,3650.0,1674.521040327294,,2649.286758257819,200,500000,1000,1000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,12.766175249940716
5430.0,5530.0,2647.114499927209,,4605.383514596451,200,500000,2000,2000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,15.131236457964405
7680.0,7730.0,3724.1331145149525,,6683.751820565103,200,500000,3000,3000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,19.529841334093362
9560.0,9600.0,4702.029819189268,,8653.899460380573,200,500000,4000,4000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,23.380997249973007
11604.000000000005,11650.0,5693.538961977736,,10645.410683515222,200,500000,5000,5000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,27.296182083082385
13630.0,13660.0,6702.553855038984,,12649.58226037196,200,500000,6000,6000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,31.716018833918497
15610.0,15560.0,7654.279973745624,,14590.368239355581,200,500000,7000,7000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,35.936395708005875
17505.0,17530.0,8616.88427128427,,16551.247191011236,200,500000,8000,8000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,40.63517845899332
19710.0,19760.0,9738.641815819861,,18679.13712957583,200,500000,9000,9000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,45.46063674998004
21521.000000000004,21591.000000000004,10646.890164287252,,20573.2428651371,200,500000,10000,10000,250000,500000,10000,300,,,,1000,1,True,False,False,False,500000,250,True,1000000,True,1,49.62718112510629
2260.0,0.0,1091.6070595099184,,2070.8857059339375,200,500000,1000,1000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,6.3862953329226
4270.0,0.0,2090.063553270494,,4061.10188895249,200,500000,2000,2000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,7.898634874960408
6260.0,0.0,3097.372965116279,,6059.190212642004,200,500000,3000,3000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,9.627732834080234
8290.0,0.0,4106.823395797842,,8064.478545041205,200,500000,4000,4000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,11.899074124987237
10260.0,0.0,5097.0401952339935,,10047.225732337736,200,500000,5000,5000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,13.739174582995474
12270.0,0.0,6099.237142857143,,12045.549199084668,200,500000,6000,6000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,15.535137459053658
14290.0,0.0,7109.5475778546715,,14048.828102505038,200,500000,7000,7000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,17.953464917023666
16290.0,0.0,8106.400760135135,,16041.808988764045,200,500000,8000,8000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,19.94221916596871
18280.0,0.0,9110.427407622927,,18045.03486345148,200,500000,9000,9000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,21.81780145794619
20290.0,0.0,10104.033651149748,,20033.98264763504,200,500000,10000,10000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,24.52840866695624
2260.0,0.0,1091.6993873978997,,2071.6223326512713,200,500000,1000,1000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,11.043564291903749
4270.0,0.0,2091.359080525414,,4061.2635791881075,200,500000,2000,2000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,12.878188834059983
6260.0,0.0,3095.5017441860464,,6056.452082726479,200,500000,3000,3000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,14.472527249949053
8290.0,0.0,4101.904031800113,,8058.536516055698,200,500000,4000,4000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,16.80770933406893
10270.0,0.0,5098.85956346927,,10048.329979879276,200,500000,5000,5000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,18.85013708297629
12270.0,0.0,6100.534,,12045.474014848658,200,500000,6000,6000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,21.144972541951574
14290.0,0.0,7109.708165031737,,14051.006904487916,200,500000,7000,7000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,23.565951083088294
